,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),UK'37,(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
19,,2.50,0.9500,200.00,27.30,200.12,146.22,,,7.5,1230,60,190,25,509,711,G.ruber,Calibrated with Calib 6.0,,
,,5.00,0.9500,400.00,27.36,402.82,149.90,,,35,3350,100,190,25,2736,3229,G.ruber,Calibrated with Calib 6.0,,
,,7.50,0.9400,600.00,27.27,608.05,91.79,,,55,5540,90,190,25,5539,5922,G.ruber,Calibrated with Calib 6.0,,
,,10.00,0.9500,820.00,27.36,821.05,182.04,,,70,7850,90,190,25,7941,8320,G.ruber,Calibrated with Calib 6.0,,
,,12.50,0.9400,1030.00,27.12,1035.72,241.16,,,80,8700,120,190,25,8795,9440,G.ruber,Calibrated with Calib 6.0,,
,,15.00,0.9400,1250.00,27.21,1250.70,278.82,,,97.5,10580,120,190,25,11177,11927,G.ruber,Calibrated with Calib 6.0,,
,,17.50,0.9400,1460.00,27.03,1465.89,301.77,,,115,11780,130,190,25,12729,13310,G.ruber,Calibrated with Calib 6.0,,
,,20.00,0.9400,1680.00,27.12,1681.23,314.16,,,127.5,13060,150,190,25,14038,15132,G.ruber,Calibrated with Calib 6.0,,
,,22.50,0.9400,1890.00,27.03,1896.72,316.37,,,142.5,14200,170,190,25,15929,17115,G.ruber,Calibrated with Calib 6.0,,
,,25.00,0.9300,2100.00,26.91,2112.34,309.35,,,160,15880,170,190,25,18028,18830,G.ruber,Calibrated with Calib 6.0,,
,,27.50,0.9300,2320.00,26.82,2328.13,291.51,,,165,16260,170,190,25,18578,19320,G.ruber,Calibrated with Calib 6.0,,
,,30.00,0.9400,2530.00,27.15,2544.11,261.62,,,180,17130,180,190,25,19401,20200,G.ruber,Calibrated with Calib 6.0,,
,,32.50,0.9400,2750.00,27.03,2760.43,212.78,,,197.5,20580,260,190,25,23194,24521,G.ruber,Calibrated with Calib 6.0,,
,,35.00,0.9400,2960.00,27.18,2978.31,125.38,,,,,,,,,,,,,
,,37.50,0.9300,3310.00,26.97,3318.52,247.83,,,,,,,,,,,,,
,,40.00,0.9300,3650.00,26.88,3661.00,306.61,,,,,,,,,,,,,
,,42.50,0.9300,4000.00,26.97,4004.04,335.40,,,,,,,,,,,,,
,,45.00,0.9400,4340.00,27.03,4347.42,344.01,,,,,,,,,,,,,
,,47.50,0.9400,4690.00,27.21,4691.13,332.40,,,,,,,,,,,,,
,,50.00,0.9400,5040.00,27.09,5035.19,300.18,,,,,,,,,,,,,
,,52.50,0.9500,5380.00,27.33,5379.79,236.28,,,,,,,,,,,,,
,,55.00,0.9400,5730.00,27.24,5726.67,97.71,,,,,,,,,,,,,
,,57.50,0.9400,6120.00,27.21,6124.26,245.32,,,,,,,,,,,,,
,,62.50,0.9300,6920.00,26.70,6925.14,317.85,,,,,,,,,,,,,
,,65.00,0.9400,7310.00,27.06,7326.43,301.59,,,,,,,,,,,,,
,,67.50,0.9300,7710.00,26.82,7728.42,243.63,,,,,,,,,,,,,
,,70.00,0.9300,8110.00,26.91,8132.91,94.89,,,,,,,,,,,,,
,,72.50,0.9300,8370.00,26.97,8375.94,186.71,,,,,,,,,,,,,
,,75.00,0.9300,8630.00,26.97,8621.15,215.46,,,,,,,,,,,,,
,,77.50,0.9200,8880.00,26.64,8867.21,205.19,,,,,,,,,,,,,
,,80.00,0.9300,9140.00,26.91,9115.45,155.49,,,,,,,,,,,,,
,,82.50,0.9300,9470.00,26.70,9460.28,254.71,,,,,,,,,,,,,
,,85.00,0.9200,9800.00,26.67,9807.35,306.05,,,,,,,,,,,,,
,,87.50,0.9300,10140.00,26.70,10154.99,329.21,,,,,,,,,,,,,
,,90.00,0.9200,10470.00,26.58,10503.02,332.03,,,,,,,,,,,,,
,,92.50,0.9300,10800.00,26.70,10851.46,313.27,,,,,,,,,,,,,
,,95.00,0.9200,11130.00,26.42,11200.42,270.69,,,,,,,,,,,,,
,,97.50,0.9200,11460.00,26.55,11536.57,203.86,,,,,,,,,,,,,
,,100.00,0.9100,11690.00,26.36,11759.18,234.37,,,,,,,,,,,,,
,,102.50,0.9130,11920.00,26.33,11968.15,260.55,,,,,,,,,,,,,
,,105.00,0.9100,12150.00,26.21,12177.46,271.90,,,,,,,,,,,,,
,,107.50,0.9100,12380.00,26.15,12387.02,268.87,,,,,,,,,,,,,
,,110.00,0.9100,12610.00,26.18,12596.84,251.92,,,,,,,,,,,,,
,,112.50,0.9100,12840.00,26.12,12807.01,215.78,,,,,,,,,,,,,
,,115.00,0.9100,13080.00,26.21,13018.62,146.86,,,,,,,,,,,,,
,,117.50,0.9200,13360.00,26.39,13327.67,240.40,,,,,,,,,,,,,
