,,Proxy depth,Published Proxy,Published age,Published Temperature,Age model error,,,,,,,,,,,,,,,
Unique ID,,(cm),Temperature Anomaly (deg C),(yr BP),(deg C),"(yr, 1¦Ò)",,,,,,,,,,,,,,,
25,,6.60,0.8800,38.3738,0.8800,1,,,,,,,,,,,,,,,
,,7.15,1.8400,46.8120,1.8400,1,,,,,,,,,,,,,,,
,,7.70,3.0400,55.0562,3.0400,1,,,,,,,,,,,,,,,
,,8.25,0.3500,64.4151,0.3500,1,,,,,,,,,,,,,,,
,,8.80,-0.4200,73.1508,-0.4200,1,,,,,,,,,,,,,,,
,,9.35,0.0500,81.9324,0.0500,2,,,,,,,,,,,,,,,
,,9.90,0.0500,90.7593,0.0500,2,,,,,,,,,,,,,,,
,,10.45,-0.5200,99.9703,-0.5200,2,,,,,,,,,,,,,,,
,,11.00,0.7900,109.8888,0.7900,2,,,,,,,,,,,,,,,
,,11.55,-0.5500,119.2589,-0.5500,2,,,,,,,,,,,,,,,
,,12.10,-1.1100,129.4038,-1.1100,3,,,,,,,,,,,,,,,
,,12.65,0.3800,139.9389,0.3800,3,,,,,,,,,,,,,,,
,,13.20,-0.4000,150.1021,-0.4000,3,,,,,,,,,,,,,,,
,,13.75,1.0500,160.5801,1.0500,3,,,,,,,,,,,,,,,
,,14.30,0.2800,171.0183,0.2800,3,,,,,,,,,,,,,,,
,,14.85,-0.7200,181.4447,-0.7200,4,,,,,,,,,,,,,,,
,,15.40,-1.2300,191.4828,-1.2300,4,,,,,,,,,,,,,,,
,,15.95,0.5100,201.8723,0.5100,4,,,,,,,,,,,,,,,
,,16.50,-2.4400,212.1863,-2.4400,4,,,,,,,,,,,,,,,
,,17.05,0.4200,223.1629,0.4200,4,,,,,,,,,,,,,,,
,,17.60,0.8400,233.7391,0.8400,5,,,,,,,,,,,,,,,
,,18.15,0.7100,244.6407,0.7100,5,,,,,,,,,,,,,,,
,,18.70,-0.0200,255.4997,-0.0200,5,,,,,,,,,,,,,,,
,,19.25,-0.1400,266.6121,-0.1400,5,,,,,,,,,,,,,,,
,,19.80,-1.4100,277.7710,-1.4100,6,,,,,,,,,,,,,,,
,,20.35,-0.3400,289.2501,-0.3400,6,,,,,,,,,,,,,,,
,,20.90,0.1600,301.0430,0.1600,6,,,,,,,,,,,,,,,
,,21.45,-1.2200,312.4418,-1.2200,6,,,,,,,,,,,,,,,
,,22.00,-0.4100,323.8545,-0.4100,6,,,,,,,,,,,,,,,
,,22.55,-0.5900,335.5783,-0.5900,7,,,,,,,,,,,,,,,
,,23.10,0.0300,346.8813,0.0300,7,,,,,,,,,,,,,,,
,,23.65,-0.6700,358.5082,-0.6700,7,,,,,,,,,,,,,,,
,,24.20,-0.9000,370.9011,-0.9000,7,,,,,,,,,,,,,,,
,,24.75,-1.5300,382.8744,-1.5300,8,,,,,,,,,,,,,,,
,,25.30,-0.4700,395.1856,-0.4700,8,,,,,,,,,,,,,,,
,,25.85,-0.1200,407.4656,-0.1200,8,,,,,,,,,,,,,,,
,,26.40,0.2100,418.7549,0.2100,8,,,,,,,,,,,,,,,
,,26.95,-1.7300,430.3977,-1.7300,9,,,,,,,,,,,,,,,
,,27.50,0.1600,442.4092,0.1600,9,,,,,,,,,,,,,,,
,,28.05,0.1400,454.0992,0.1400,9,,,,,,,,,,,,,,,
,,28.60,-0.5600,466.1252,-0.5600,9,,,,,,,,,,,,,,,
,,29.15,-0.8000,478.2143,-0.8000,10,,,,,,,,,,,,,,,
,,29.70,0.4200,490.3972,0.4200,10,,,,,,,,,,,,,,,
,,30.25,-2.3600,503.0573,-2.3600,10,,,,,,,,,,,,,,,
,,30.80,-0.8500,515.6510,-0.8500,10,,,,,,,,,,,,,,,
,,31.35,-0.3600,528.7642,-0.3600,11,,,,,,,,,,,,,,,
,,31.90,1.2600,541.6086,1.2600,11,,,,,,,,,,,,,,,
,,32.45,0.7000,554.9312,0.7000,11,,,,,,,,,,,,,,,
,,33.00,-0.7700,567.7542,-0.7700,11,,,,,,,,,,,,,,,
,,33.55,1.4000,580.5999,1.4000,12,,,,,,,,,,,,,,,
,,34.10,-0.8700,593.5114,-0.8700,12,,,,,,,,,,,,,,,
,,34.65,-0.8100,606.4739,-0.8100,12,,,,,,,,,,,,,,,
,,35.20,1.4600,619.4661,1.4600,12,,,,,,,,,,,,,,,
,,35.75,0.9800,632.0487,0.9800,13,,,,,,,,,,,,,,,
,,36.30,0.2700,644.9871,0.2700,13,,,,,,,,,,,,,,,
