102.830	0.173	280.4	1.8
106.885	0.311	274.9	0.7
107.195	0.322	277.9	0.7
110.245	0.427	279.1	1.3
110.500	0.435	281.9	1.1
113.265	0.530	277.7	0.7
115.480	0.604	281.1	1.1
118.615	0.709	282.2	0.5
121.500	0.806	280.1	0.6
124.815	0.917	278.4	1.5
127.015	0.991	276.6	1.4
129.745	1.083	279.1	1.0
132.500	1.175	277.7	1.2
134.715	1.249	278.7	1.2
138.015	1.362	277.4	0.8
141.295	1.477	279.2	0.9
144.050	1.574	280.0	0.8
146.265	1.653	278.9	0.8
149.015	1.751	278.7	0.7
151.195	1.830	278.0	1.2
154.500	1.948	276.9	0.7
157.815	2.069	276.7	0.8
160.030	2.150	276.7	0.8
162.165	2.228	277.6	1.3
165.515	2.352	277.9	0.5
168.280	2.453	273.9	1.1
171.000	2.550	278.9	0.6
173.135	2.625	275.3	1.6
176.515	2.743	274.7	1.2
178.715	2.820	276.3	0.9
181.445	2.918	274.6	0.8
185.845	3.078	276.3	1.5
187.515	3.138	273.1	1.1
189.715	3.219	274.0	0.3
193.000	3.337	275.0	0.6
196.295	3.454	273.4	1.3
198.515	3.531	273.0	0.8
201.280	3.628	271.5	1.0
204.000	3.724	275.4	0.5
206.195	3.802	274.9	1.3
209.515	3.921	271.7	1.0
212.265	4.019	271.6	0.7
215.000	4.117	272.8	0.8
216.645	4.176	271.5	0.9
221.050	4.335	271.1	0.8
222.715	4.395	269.1	0.6
225.480	4.496	269.8	1.0
228.195	4.596	271.5	0.8
232.050	4.737	270.7	0.5
233.715	4.797	269.3	1.0
236.465	4.895	268.6	1.1
240.265	5.033	269.8	1.2
242.500	5.114	267.6	0.6
244.715	5.196	265.3	1.7
248.015	5.318	265.2	0.8
250.715	5.419	267.6	2.0
253.500	5.521	265.9	0.9
256.265	5.621	265.5	0.8
259.015	5.721	260.7	1.6
260.645	5.780	266.7	0.9
264.500	5.921	265.5	0.8
268.365	6.064	263.2	0.6
269.415	6.102	262.7	0.9
272.195	6.205	261.2	0.7
276.065	6.349	261.1	0.4
278.265	6.430	259.4	0.6
280.530	6.514	262.1	0.9
